BIOS E-27, Invertebrate Zoology, Spring Term 2018 | CRN 25150, On campus with online option, Tuesdays, 5:30-7:30 pm, 1 Story Street 306, Jan. 23, 2018, Noncredit: $1550, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-30, Epigenetics and Gene Regulation, Spring Term 2018 | CRN 24705, On campus only, Wednesdays, 7:40-9:40 pm, Sever Hall 206, Jan. 24, 2018, Noncredit: $900, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-40, Introduction to Proteomics, Fall term 2017 | CRN 13099, On campus with online option, Tuesdays, 7:40-9:40 pm, 1 Story Street 307, Aug. 29, 2017, Noncredit: $1550, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-45, Introduction to Genomics, Spring Term 2018 | CRN 23605, Online only, On Demand, Noncredit: $1550, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-47, Genetics, Genomics, and Evolution, Fall term 2017 | CRN 15515, On campus with online option, Tuesdays, 5:30-7:30 pm, 1 Story Street 304, Aug. 29, 2017, Noncredit: $1550, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-497, Crafting the Thesis Proposal in Biology Tutorial, Fall term 2017 | CRN 15474, Online only, On Demand, Aug. 28, 2017, Graduate credit: $2700, Credits: 4
BIOS E-497, Crafting the Thesis Proposal in Biology Tutorial, Spring Term 2018 | CRN 25096, Online only, On Demand, Jan. 22, 2018, Graduate credit: $2700, Credits: 4
BIOS E-50, Neurobiology, Fall term 2017 | CRN 13097, On campus only, Wednesdays, 5:30-7:30 pm, Science Center Hall E, Aug. 30, 2017, Noncredit: $900, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-55, Developmental Biology, Spring Term 2018 | CRN 22959, On campus only, Tuesdays, 7:40-9:40 pm, Science Center B-10, Jan. 23, 2018, Noncredit: $900, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-60, Immunology, Spring Term 2018 | CRN 23186, On campus with online option, Thursdays, 5:30-7:30 pm, Maxwell-Dworkin G115, Jan. 25, 2018, Noncredit: $1550, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-65C, Human Anatomy and Physiology I, Fall term 2017 | CRN 13387, On campus only, Mondays, 5:30-7:30 pm, Science Center Hall D, Aug. 28, 2017, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-65D, Human Anatomy and Physiology II, Spring Term 2018 | CRN 23232, On campus only, Mondays, 5:30-7:30 pm, Science Center Hall C, Jan. 22, 2018, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-66, Sports Physiology, Spring Term 2018 | CRN 24683, On campus with online option, Mondays, 3-5 pm, 1 Story Street 304, Jan. 22, 2018, Noncredit: $1550, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOS E-70, Introduction to Epidemiology, Spring Term 2018 | CRN 24809, On campus only, Thursdays, 5:30-7:30 pm, Emerson Hall 101, Jan. 25, 2018, Noncredit: $900, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOT E-100, Introduction to Bioinformatics, Fall term 2017 | CRN 14566, On campus only, Mondays, 7:40-9:40 pm, 53 Church Street 202, Aug. 28, 2017, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOT E-105, Bioinformatics: Fundamentals of Sequence Analysis, Spring Term 2018 | CRN 24434, Online (live) web conference, Tuesdays, 7:20-9:20 pm, Jan. 23, 2018, Noncredit: $1550, Undergraduate credit: $1550, Graduate credit: $2700, Credits: 4
BIOT E-120, Ethics and Trends in Biotechnology, Fall term 2017 | CRN 15456, On campus only, Wednesdays, 7:40-9:40 pm, Sever Hall 110, Aug. 30, 2017, Graduate credit: $2700, Credits: 4
BIOT E-120, Ethics and Trends in Biotechnology, Spring Term 2018 | CRN 25195, Online (live) web conference, Tuesdays, 7:40-9:40 pm, Jan. 23, 2018, Graduate credit: $2700, Credits: 4
